ZoneName,LengthM,SiteCode,DateStart,DateFinish,ZoneDescription,Comments,Comments2,RoadType,RCACScore,RoadWidthM,LRoadWidth,RRoadWidth,WidthVarie,RCACWidth,RCACTreesW,RCACTreesS,RCACGround,RCACGrassl,RCACLeafLi,RCACLogs,RCACRocksC,RCACWetlan,RCACMaxFau,RCACRegene,RCACWildli,RCACWeedCo,RCACSiteDi,RCACRareSp,HollowTree,LargeOldTree,Trees,LogsWoodyD,GroundFlor,Mistletoe,Shrubs,BioticSoil,LeafMulchL,Rocks,CracksCrev,Wetland,Disturbanc,Regenerati,Weeds,Powerline,BiomassRed,AdjoiningL,AdjoiningV,PowerlineD,CanopyCont,OverallFue,GroundFuel,ElevatedFu,BarkHazard,Majorweeds,Locality,LandFormLS,LandForm00,SoilType,EVCCode,EVCNotes,EVCSource,Origin,Recommenda
rankin road,2,g209,11/12/2014,11/12/2014,pasture grasses and weeds,phalaris dominated,"roadside only scores hcv due to listed species presence, otherwise lcv",,22,5.0,,,0,1,0,0,2,0,0,0,1,0,3,0,0,1,2,1,0,0,0.0,0,29,0,0,0,0,1,0,0,2,1,2,0,289,,e,309.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,132,132,,,
rokewood-skipton road,1,g214,11/12/2014,11/12/2014,grassland,,,,14,10.0,,,0,2,0,0,2,2,0,0,2,0,4,0,0,2,4,0,0,0,0.0,0,29,0,0,1,0,1,1,0,3,1,3,0,289,,e,291.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,2223,132,,,
rokewood-skipton road,5,g214,11/12/2014,11/12/2014,grassland,phalaris dominated,,,10,10.0,,,0,2,0,0,2,2,0,0,2,0,4,0,0,0,2,0,0,0,0.0,0,29,0,0,1,0,1,1,0,2,1,1,0,289,,e,291.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,2223,132,,,
rokewood-skipton road,9,g214,11/12/2014,11/12/2014,grassland,,hcv roadside converted to very high status due to listed species presence,,31,10.0,,,0,2,0,0,2,4,0,0,2,0,4,0,0,2,4,1,0,0,0.0,0,29,0,0,1,0,1,1,0,3,1,3,0,289,,e,307.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,2223,132,,,
rokewood-skipton road,7,g214,11/12/2014,11/12/2014,grassland,,,,15,10.0,,,0,2,0,0,2,3,0,0,2,0,4,0,0,2,4,0,0,0,0.0,0,29,0,0,1,0,1,1,0,3,1,3,0,289,,e,309.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,2223,132,,,
rokewood-skipton road,1,g214,11/12/2014,11/12/2014,grassland,,,,7,10.0,,,0,2,0,0,2,1,0,0,0,0,4,0,0,0,2,0,0,0,0.0,0,29,0,0,0,0,0,0,0,2,1,1,0,289,,e,309.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,2223,132,,,
arthurs lane,3,g201,16/12/2014,16/12/2014,woodland with patchy native grass understorey,,,,15,12.0,,,1,2,2,2,2,0,2,2,0,0,5,1,2,1,4,0,0,2,19.0,2,29,0,24,1,3,0,0,0,3,2,2,0,300,,en,309.0,2,,,,,,mount mercer,7.1pfq6-4,,,251,47>175/47>47,,,
dereel-mt mercer road,3,g247,16/12/2014,16/12/2014,woodland with patchy native grass understorey,,,,16,8.0,,,1,2,1,2,2,0,2,1,0,0,5,1,2,2,4,0,0,1,19.0,1,29,0,24,2,2,0,0,0,3,2,3,0,300,,i+e,309.0,2,,,,,,mount mercer,7.1pfq6-4,,,47,47,,,
mt mercer-shelford road,5,g151,16/12/2014,16/12/2014,cleared with occasional trees and/or shrubs,,,,19,20.0,,,0,3,0,2,2,0,0,0,1,0,5,3,2,2,4,0,0,0,0.0,0,29,0,24,0,0,1,0,0,3,4,3,0,289,,e,307.0,0,,,,,,mount mercer,7.1pbfq6-5,,ye,2223,2223,,,
mt mercer-shelford road,1,g151,16/12/2014,16/12/2014,grassland,,hcv roadside converted to very high status due to listed species presence,,35,20.0,,,0,3,0,2,2,3,0,0,1,0,5,1,2,2,4,1,0,0,0.0,0,29,0,24,0,0,1,0,0,3,2,3,0,289,,e/sb,309.0,0,,,,,,shelford,7.1pbfq5-1,,yk,2223,2223 or 132/649>132,,,
mt mercer-shelford road,1,g151,16/12/2014,16/12/2014,pasture grasses and weeds,"very patchy, converted to very high conservation status based on existing vba records for section (otherwise medium value)","roadside only scores hcv due to listed species presence, otherwise mcv",,29,20.0,,,0,3,0,0,2,3,0,0,0,0,2,0,0,2,4,0,0,0,0.0,0,29,0,0,0,0,0,0,0,3,1,3,0,289,,sb,309.0,0,,,,,,shelford,7.1pbfq5-1,,yk,132,132,,,
bakers lane,3,g218,16/12/2014,16/12/2014,woodland with weedy grassy understorey,dominated by perennial veldt grass,,,14,10.0,,,0,2,3,2,2,0,2,2,0,0,5,1,2,0,4,0,2,2,19.0,2,29,0,24,0,2,0,0,0,3,2,1,0,300,,i,309.0,2,,,,,,inverleigh,7.1pft5-1,,ma,3,3,,,
bakers lane,3,g218,16/12/2014,16/12/2014,woodland with weedy grassy understorey,dominated by perennial veldt grass,,,14,10.0,,,0,2,3,2,2,0,2,2,0,0,5,1,2,0,4,0,2,2,19.0,2,29,1,24,0,2,0,0,0,3,2,1,0,300,,i,309.0,2,,,,,,inverleigh,7.1pft5-1,,ma,55,55,,,
common road,3,g258,16/12/2014,16/12/2014,cleared with occasional trees and/or shrubs,dominated by perennial veldt grass,,,12,10.0,,,0,2,1,2,2,0,2,1,0,0,5,0,1,0,4,0,0,1,16.0,1,29,1,16,0,2,0,0,0,3,1,1,0,289,,i,309.0,1,,,,,,inverleigh,7.1pft5-1,,ma,55,55,,,
common road,1,g258,16/12/2014,16/12/2014,cleared with occasional trees and/or shrubs,,,,16,10.0,,,0,2,1,2,2,0,2,1,0,0,5,2,1,2,4,0,0,1,16.0,1,29,1,16,0,2,0,0,0,3,3,3,0,289,,i,309.0,1,,,,,,inverleigh,7.1pft5-1,,ma,885,55/3>3>55/3,,,
teesdale-inverleigh road,3,g311,16/12/2014,16/12/2014,woodland with weedy grassy understorey,dominated by perennial veldt grass,hcv roadside converted to very high status due to listed species presence,,30,10.0,,,0,2,2,2,2,0,2,2,0,0,5,1,2,1,4,1,1,1,19.0,3,29,0,24,0,2,0,0,0,3,2,2,0,289,,i,309.0,2,,,,,,inverleigh,7.1pft5-1,,ma,885,55>3>55>3,,,
cressy-shelford road,9,g149,16/12/2014,16/12/2014,grassland,converted to very high conservation status based on existing vba records for section,hcv roadside converted to very high status due to listed species presence,,32,20.0,,,0,3,0,0,2,4,0,0,2,0,4,0,0,2,4,0,0,0,0.0,0,29,0,0,0,0,2,0,0,3,1,3,0,289,,e/sb,291.0,0,,,,,,barunah park,7.2pbq5-1,,st,132,132,,,
cressy-shelford road,5,g149,16/12/2014,16/12/2014,grassland,,hcv roadside converted to very high status due to listed species presence,,32,20.0,,,0,3,0,0,2,4,0,0,2,0,4,0,0,2,4,1,0,0,0.0,0,29,0,0,0,0,2,3,0,3,1,3,0,289,,e,309.0,0,,,,,,barunah park,7.1pbfq5-1,,yk,132,132>125>132,,,
cressy-shelford road,3,g149,16/12/2014,16/12/2014,grassland,,hcv roadside converted to very high status due to listed species presence,,30,20.0,,,0,3,0,0,2,2,0,0,2,0,4,0,0,2,4,1,0,0,0.0,0,29,0,0,0,0,2,3,0,3,1,3,0,289,,e,309.0,0,,,,,,shelford,7.1pbfq5-1,,yk,132,132>125>132>125,,,
rokewood-skipton road,2,g214,17/12/2014,17/12/2014,grassland with fenceline shelterbelt and a few shrubs,,hcv roadside converted to very high status due to listed species presence,,30,20.0,,,0,2,1,2,2,0,1,0,0,0,5,1,2,1,4,1,1,0,0.0,0,29,0,17,2,1,0,0,0,3,2,2,0,298,,e,309.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,2223,2223,,,
rokewood-skipton road,6,g214,17/12/2014,17/12/2014,pasture grasses and weeds,,"roadside only scores hcv due to listed species presence, otherwise mcv",,24,0.0,,,0,2,0,0,2,0,0,0,0,0,2,0,0,1,4,1,0,0,0.0,0,29,0,0,0,0,0,0,0,3,1,2,0,289,,e,309.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,2223,2223,,,
rokewood-skipton road,1,g214,17/12/2014,17/12/2014,grassland with fenceline shelterbelt and a few shrubs,dominated by phalaris,"roadside only scores hcv due to listed species presence, otherwise mcv",,24,20.0,,,0,2,0,0,2,0,0,0,0,0,2,0,0,1,4,1,0,0,0.0,0,29,0,0,0,0,0,0,0,3,1,2,0,289,,e,309.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,132,132,,,
rokewood-skipton road,2,g214,17/12/2014,17/12/2014,pasture grasses and weeds,previously sprayed by brigade (once),"roadside only scores hcv due to listed species presence, otherwise lcv",,21,12.0,,,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0.0,0,29,0,0,0,0,0,0,0,2,1,1,0,298,,e,309.0,0,,,,,,mannibadar,7.1pbfq6-2,,yk,132,132,,,
rokewood-skipton road,1,g214,17/12/2014,17/12/2014,cleared with occasional trees and/or shrubs,,"roadside only scores hcv due to listed species presence, otherwise mcv",,27,10.0,,,1,2,0,2,2,0,0,0,0,0,4,1,2,1,2,1,0,0,18.0,0,29,0,23,2,0,0,0,0,2,2,2,0,289,,i+e,309.0,1,,,,,,pitfield,2.1lsp6-2,,szb,641,132>641,,,
rokewood-skipton road,1,g214,17/12/2014,17/12/2014,pasture grasses and weeds,,,,6,,,,0,1,0,0,2,0,0,0,1,0,3,0,0,0,2,0,0,0,0.0,0,29,0,0,0,0,1,0,0,2,1,1,0,289,,e,309.0,0,,,,,,pitfield,2.1lsp6-2,,szb,132,132,,,
rokewood-skipton road,8,g214,17/12/2014,17/12/2014,grassland,poorer quality around intersections poorer quality around intersections,hcv roadside converted to very high status due to listed species presence,,30,20.0,,,1,2,0,2,2,0,0,0,1,0,5,0,2,2,4,1,0,0,0.0,0,29,0,23,2,0,1,0,0,3,1,3,0,289,,e,307.0,0,,,,,,pitfield,7.1pbfq6-5,,ye,175,175,,,
rokewood-skipton road,4,g214,17/12/2014,17/12/2014,grassland,,"roadside only scores hcv due to listed species presence, otherwise mcv",,29,20.0,,,0,3,0,2,2,0,0,0,1,0,5,0,0,2,4,1,0,0,0.0,0,29,0,23,2,0,0,1,0,3,1,3,0,289,,e,291.0,0,,,,,,pitfield,7.1pbfq6-2,,yk,132,132 or 175?,,,
rokewood-skipton road,9,g214,17/12/2014,17/12/2014,cleared with occasional trees and/or shrubs,check scoring,,,15,20.0,,,0,2,0,2,2,0,0,0,0,0,4,0,2,3,4,0,0,0,0.0,0,29,0,23,2,0,0,0,0,3,1,4,0,289,,e,309.0,0,,,,,,pitfield,7.1pbfq6-2,,yk,132,132 or 175/55,,,
rokewood-skipton road,3,g214,17/12/2014,17/12/2014,grassland with scattered wattles of uncertain origin,,hcv roadside converted to very high status due to listed species presence,,30,8.0,,,0,2,0,2,2,0,0,0,0,0,4,1,2,2,4,1,0,0,16.0,0,29,0,23,2,0,0,0,0,3,2,3,0,289,,e,309.0,0,,,,,,werneth,7.1pbfq5-1,,yk,234,175/55,,,
rokewood-skipton road,4,g214,17/12/2014,17/12/2014,woodland with patchy native grass understorey,,,,17,20.0,,,0,3,0,2,2,0,2,0,0,0,5,1,2,2,4,0,0,0,19.0,0,29,0,26,2,2,0,0,0,3,2,3,0,289,,e,309.0,2,,,,,,rokewood,2.1pfc5-1,,de,175,175,,,
rokewood-skipton road,2,g214,17/12/2014,17/12/2014,cleared with occasional trees and/or shrubs,,hcv roadside converted to very high status due to listed species presence,,31,20.0,,,0,3,0,2,2,0,0,0,0,0,4,1,2,2,4,1,0,0,17.0,0,29,2,16,2,0,0,0,0,3,2,3,0,289,,e/sb,309.0,0,,,,,,rokewood,2.1pfc5-1,,de,234,175/132>55 or 641>175,,,
rokewood-skipton road,1,g214,17/12/2014,17/12/2014,dominated by shelterbelts and/or escapees,,hcv roadside converted to very high status due to listed species presence,,31,20.0,,,0,3,0,2,2,0,0,0,0,0,4,1,2,2,4,1,0,0,0.0,0,29,0,23,0,0,0,0,0,3,2,3,0,289,,e,309.0,0,,,,,,rokewood,2.1pfc5-1,,de,175,175,,,
rokewood-shelford road,1,g213,17/12/2014,17/12/2014,grassland with fenceline shelterbelt and a few shrubs,,hcv roadside converted to very high status due to listed species presence,,32,20.0,,,0,3,0,0,2,4,0,0,2,0,4,0,0,2,4,1,0,0,0.0,0,29,0,0,0,0,2,0,0,3,1,3,0,289,,e,309.0,0,,,,,,rokewood,7.2pbq5-1,,st,132,132,,,
rokewood-shelford road,6,g213,17/12/2014,17/12/2014,grassland,,hcv roadside converted to very high status due to listed species presence,,30,20.0,,,0,3,0,2,2,2,0,0,2,0,5,0,0,1,4,1,0,0,0.0,0,29,0,17,0,0,3,2,0,3,1,2,0,289,,e/sb,309.0,0,,,,,,rokewood,7.2pbq5-1,,st,715,132>132/649,,,
rokewood-shelford road,1,g213,17/12/2014,17/12/2014,pasture grasses and weeds,,"roadside only scores hcv due to listed species presence, otherwise lcv",,22,15.0,,,1,2,0,1,2,0,0,0,2,0,5,0,0,0,0,1,0,0,0.0,0,29,0,16,0,0,3,0,0,1,1,1,0,300,,e,309.0,0,,,,,,shelford,7.2pbq5-1,,st,715,132/649,,,
rokewood-shelford road,3,g213,17/12/2014,17/12/2014,dominated by shelterbelts and/or escapees,,"roadside only scores hcv due to listed species presence, otherwise mcv",,25,20.0,,,0,3,0,1,2,0,0,0,2,0,5,0,0,0,2,1,0,0,0.0,0,29,0,16,0,0,2,0,0,2,1,1,0,289,,e/sb,309.0,0,,,,,,shelford,7.1pbfq5-1,,yk,715,132/649,,,
rokewood-shelford road,1,g213,17/12/2014,17/12/2014,grassland,,"roadside only scores hcv due to listed species presence, otherwise mcv",,29,20.0,,,0,3,0,0,2,2,0,0,2,0,4,0,0,1,4,1,0,0,0.0,0,29,0,0,0,0,0,3,0,3,1,2,0,289,,e/sb,309.0,0,,,,,,shelford,7.1pbfq5-1,,yk,2242,125,,,
rokewood-shelford road,3,g213,17/12/2014,17/12/2014,grassland,,"roadside only scores hcv due to listed species presence, otherwise mcv",,29,20.0,,,0,3,0,0,2,2,0,0,2,0,4,0,0,1,4,1,0,0,0.0,0,29,0,0,0,0,0,3,0,3,1,2,0,289,,e/sb,309.0,0,,,,,,shelford,7.1pbfq5-1,,yk,132,132>125>132,,,
rokewood-shelford road,2,g213,17/12/2014,17/12/2014,pasture grasses and weeds,,"roadside only scores hcv due to listed species presence, otherwise mcv",,24,20.0,,,0,3,0,0,2,0,0,0,2,0,4,0,0,0,2,1,0,0,0.0,0,29,0,0,0,0,0,2,0,2,1,1,0,289,,e,291.0,0,,,,,,shelford,7.1pbfq5-1,,yk,2242,132/125,,,
taylors road (meredith),1,g114,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,,,,7,6.0,,,0,2,0,2,2,0,0,0,0,0,4,1,0,0,0,0,0,0,16.0,0,29,0,16,0,0,0,0,0,1,2,1,0,300,,e/sb,307.0,0,,,,,,meredith,7.1pbfq5-1,,yk,719,175 or 3,,,
taylors road (meredith),4,g114,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,,,,11,6.0,,,0,2,0,2,2,0,0,0,0,0,4,1,1,1,2,0,0,0,16.0,0,29,0,16,0,0,0,0,0,2,2,2,0,300,,e/sb,307.0,1,,,,,,meredith,2.1lsp5-6,,dd,719,175 or 3,,,
taylors road (meredith),8,g114,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,,,16,6.0,,,0,2,1,2,2,0,2,1,0,0,5,2,1,2,4,0,0,1,18.0,1,29,0,23,0,2,0,0,0,3,3,3,0,300,,e,309.0,2,,,,,,meredith,2.1lsp5-6,,dd,719,175/3>3,,,
taylors road (meredith),2,g114,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,,,15,4.0,,,0,1,1,2,2,0,2,2,0,0,5,1,2,2,4,0,0,1,20.0,3,29,0,24,1,2,0,0,0,3,2,3,0,300,,i+e,309.0,3,,,,,,meredith,2.1lsp5-6,,dd,719,[16]>3>16>3>175,,,
taylors road (meredith),1,g114,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,"roadside only scores hcv due to listed species presence, otherwise mcv",,29,4.0,,,1,1,3,2,2,0,2,2,0,0,5,1,2,1,4,1,1,2,19.0,3,29,0,24,1,2,0,0,0,3,2,2,0,300,,i+e,309.0,3,,,,,,meredith,2.1lsp5-6,,dd,719,175>3/175>3,,,
taylors road (meredith),5,g114,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,,,15,20.0,,,1,3,3,2,2,0,2,2,0,0,5,1,2,0,4,0,1,2,19.0,3,29,0,24,1,2,0,0,0,3,2,1,0,300,,i+e,309.0,3,,,,,,meredith,2.1lsp5-6,,dd,3,3>[175]>641,,,
taylors road (meredith),8,g114,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,,"roadside only scores hcv due to listed species presence, otherwise lcv",,22,5.0,,,0,1,0,2,2,0,0,0,0,0,4,0,0,0,2,1,0,0,16.0,0,29,0,23,0,0,0,0,0,2,1,1,0,298,,e,309.0,0,,,,,,meredith,7.1pbfq5-1,,dd,175,175,,,
strong road,7,g307,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,hcv roadside converted to very high status due to listed species presence,,30,4.0,,,1,1,1,2,2,0,2,0,0,0,5,1,2,2,4,1,0,1,18.0,0,29,0,24,1,2,0,0,0,3,2,3,0,300,,i+e,309.0,2,,,,,,she oaks,7.1pbfq5-1,,yk,175,175,,,
maude-sheoaks road,7,g281,18/12/2014,18/12/2014,woodland with weedy grassy understorey,,"roadside only scores hcv due to listed species presence, otherwise mcv",,29,6.0,,,0,2,0,2,2,0,2,1,0,0,5,1,2,0,4,1,0,0,19.0,1,29,0,24,2,2,0,0,0,3,2,1,0,289,,i+e,309.0,2,,,,,,she oaks,2.1hsp5-6,,dd,175,175,,,
maude-sheoaks road,2,g281,18/12/2014,18/12/2014,woodland with open/flax-lily ground layer,,hcv roadside converted to very high status due to listed species presence,,31,20.0,,,1,3,1,2,2,0,2,1,0,0,5,1,2,1,4,1,0,1,19.0,1,29,1,24,2,2,0,0,0,3,2,2,0,300,,i+e,307.0,3,,,,,,maude,2.1hsp5-6,,szb,719,175>21?>175>3>175,,,
muhlebach road,1,g290,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,,"roadside only scores hcv due to listed species presence, otherwise lcv",,22,4.0,,,0,1,0,1,2,0,0,0,0,0,3,0,0,1,2,1,0,0,16.0,0,29,0,0,0,0,0,0,0,2,1,2,0,298,,i+e,309.0,0,,,,,,sutherlands creek,7.1pbfq4-1,,rg,175,175,,,
hamilton highway,4,g169,18/12/2014,18/12/2014,"sprayed, degraded - pasture grasses and weeds",,,,3,4.0,,,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,1,1,1,0,290,,e,309.0,0,,,,,,murgheboluc,7.1pbfq5-1,,yk,175,175,,,
bannockburn bush south track,4,g250,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,hcv roadside converted to very high status due to listed species presence,,30,20.0,,,0,2,0,2,2,0,2,2,0,0,5,1,2,1,4,1,0,0,19.0,2,33,0,24,0,2,0,0,0,3,2,2,0,300,,i,309.0,3,,,,,,bannockburn,7.1pft5-1,,ma,719,175/3,,,
bannockburn bush south track,1,g250,18/12/2014,18/12/2014,sugar gum plantation,,,,7,20.0,,,0,2,0,1,2,0,2,1,0,0,5,0,0,0,0,0,0,0,0.0,1,52,0,16,1,4,0,0,0,1,1,1,0,300,,n,309.0,0,,,,,,bannockburn,7.1pft5-1,,ma,719,175/3,,,
old base road,1,g294,18/12/2014,18/12/2014,woodland with native grass/bracken understorey,,,,16,6.0,,,0,2,0,2,2,0,2,2,0,0,5,1,2,2,4,0,0,0,19.0,2,29,0,24,1,4,0,0,0,3,2,3,0,300,,n,309.0,3,,,,,,bannockburn,7.1pft5-1,,ma,719,175/3>55/3>3/175>282>3/175,,,
mcphillips road,3,g120,18/12/2014,18/12/2014,pasture grasses and weeds,converted to very high conservation status based on existing vba records for section (note verge has been largely degraded in last five years by intensive development and weeds),"roadside only scores hcv due to listed species presence, otherwise lcv",,22,4.0,,,0,1,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0.0,0,29,0,0,0,0,0,0,0,3,1,1,0,298,,h,309.0,0,,,,,,bannockburn,7.1pbfq5-1,,yk,132,132,,,
mcphillips road,1,g120,18/12/2014,18/12/2014,grassland,converted to very high conservation status based on existing vba records for section (note verge has been largely degraded in last five years by intensive development and weeds),"roadside only scores hcv due to listed species presence, otherwise mcv",,23,4.0,,,0,1,0,0,2,0,0,0,0,0,2,0,0,1,4,0,0,0,0.0,0,29,0,0,0,0,0,0,0,3,1,2,0,289,,h,309.0,0,,,,,,bannockburn,7.1pbfq5-1,,yk,2242,125>132,,,
mcphillips road,1,g120,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,hcv roadside converted to very high status due to listed species presence,,30,4.0,,,0,1,0,2,2,0,2,0,0,0,5,1,2,2,4,1,0,0,19.0,0,30,0,24,1,2,0,0,0,3,2,3,0,300,,i,309.0,1,,,,,,bannockburn,7.1pbfq5-1,,yk,175,175,,,
mcphillips road,1,g120,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,hcv roadside converted to very high status due to listed species presence,,30,4.0,,,0,1,0,2,2,0,2,0,0,0,5,1,2,2,4,1,0,0,19.0,0,30,0,24,1,2,0,0,0,3,2,3,0,300,,i,309.0,1,,,,,,bannockburn,7.1pbfq5-1,,yk,175,175,,,
riddles road,9,g302,18/12/2014,18/12/2014,woodland with weedy grassy understorey,,"roadside only scores hcv due to listed species presence, otherwise mcv",,27,4.0,,,0,1,0,2,2,0,2,0,0,0,5,2,1,1,2,1,0,0,18.0,0,29,0,23,0,2,0,0,0,2,3,2,0,300,,sb,309.0,0,,,,,,bannockburn,7.1pbfq5-1,,yk,175,175,,,
riddles road,6,g302,18/12/2014,18/12/2014,woodland with weedy grassy understorey,,,,11,4.0,,,1,1,1,2,2,0,1,0,2,0,5,1,2,0,2,0,0,1,16.0,0,29,0,25,0,1,2,0,0,2,2,1,0,300,,e,309.0,1,,,,,,bannockburn,7.1pft5-1,,yk,641,641,,,
riddles road,3,g302,18/12/2014,18/12/2014,woodland with weedy grassy understorey,,"roadside only scores hcv due to listed species presence, otherwise mcv",,28,4.0,,,0,1,1,2,2,0,1,0,2,0,5,1,2,0,4,1,0,1,19.0,0,29,0,24,0,1,2,0,0,3,2,1,0,300,,e,309.0,3,,,,,,bannockburn,7.1pft5-1,,ma,234,175/55,,,
riddles road,9,g302,18/12/2014,18/12/2014,woodland with patchy native grass understorey,,hcv roadside converted to very high status due to listed species presence,,30,4.0,,,0,1,1,2,2,0,1,1,2,0,5,2,2,1,4,1,0,1,19.0,1,29,0,24,0,1,2,0,0,3,3,2,0,300,,e,309.0,3,,,,,,bannockburn,7.1pft5-1,,ma,719,3/175>175yg>175/3,,,
riddles road,4,g302,18/12/2014,18/12/2014,woodland with weedy grassy understorey,,,,10,4.0,,,0,1,0,2,2,0,0,0,0,0,4,1,2,0,2,0,0,0,18.0,0,29,0,23,0,0,0,0,0,2,2,1,0,300,,e,309.0,2,,,,,,bannockburn,7.1pft5-1,,ma,175,175,,,
riddles road,6,g302,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,,,,5,4.0,,,0,1,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,16.0,0,29,0,16,0,0,0,0,0,1,1,1,0,294,,e,309.0,0,,,,,,bannockburn,7.1pft5-1,,ma,175,175,,,
teesdale-lethbridge road,8,g312,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,,,,14,12.0,,,0,2,0,2,2,0,0,0,0,0,4,1,2,1,4,0,0,0,0.0,0,29,0,23,0,0,0,0,0,3,2,2,0,300,,sb,309.0,0,,,,,,teesdale,7.1pbfq5-1,,yk,2223,2223,,,
teesdale-lethbridge road,4,g312,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,,,,7,12.0,,,0,2,0,1,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0.0,0,28,0,16,0,0,0,0,0,2,2,1,0,298,,sb,309.0,0,,,,,,teesdale,7.1pbfq5-1,,yk,2223,2223,,,
teesdale-lethbridge road,1,g312,18/12/2014,18/12/2014,cleared with occasional trees and/or shrubs,dominated by phalaris,"roadside only scores hcv due to listed species presence, otherwise lcv",,22,4.0,,,0,1,0,1,1,0,0,0,2,0,4,0,0,0,2,1,0,0,0.0,0,28,0,16,0,0,2,0,0,2,1,1,0,289,,e/sb,291.0,0,,,,,,teesdale,7.1pbfq5-1,,yk,2223,2223,,,
snowgum road,3,g054,02/12/2014,02/12/2014,forest,,,,17,6.0,,,0,2,1,2,2,0,2,1,0,0,5,1,3,2,4,0,0,1,19.0,1,43,1,17,2,3,0,0,0,3,2,3,0,300,,i,309.0,2,,,,,,dereel,2.1lsp6-2,,szb,2239,127/3>2001>47d,,,
snowgum road,8,g054,02/12/2014,02/12/2014,forest,ground layer weedier in valley grassy forest,,,16,8.0,,,0,2,2,2,2,0,2,1,0,0,5,1,3,1,4,0,0,2,20.0,1,32,2,24,2,3,0,0,0,3,2,2,0,300,,i,309.0,2,,,,,,berringa,2.1pft6-4,,yf,265,20/22>47,,,
sykes road,1,g041,02/12/2014,02/12/2014,cleared with occasional trees and/or shrubs,,,,4,4.0,,,1,1,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,16.0,0,29,0,0,0,0,0,0,0,1,1,1,0,298,,i+e,309.0,0,,,,,,berringa,2.1pft6-4,,yf,47,47,,,
sykes road,1,g041,02/12/2014,02/12/2014,forest,,,,12,,,,1,2,2,2,2,0,1,1,0,0,5,1,2,0,2,0,0,2,20.0,1,29,2,17,0,1,0,0,0,2,2,1,0,289,,i+e,309.0,2,,,,,,berringa,2.1pft6-4,,yf,47,47,,,
sykes road,1,g041,02/12/2014,02/12/2014,forest,,,,16,6.0,,,1,2,2,2,2,0,1,1,0,0,5,1,2,2,4,0,0,2,20.0,1,43,2,17,1,1,0,0,0,3,2,3,0,300,,i,309.0,2,,,,,,berringa,2.1lsp6-2,,szb,2205,127>47>127>47>22/20>47,,,
snowgum road,2,g054,02/12/2014,02/12/2014,dominated by shelterbelts and/or escapees,,,,11,6.0,,,0,2,0,2,2,0,0,0,0,0,4,1,1,1,2,0,0,0,16.0,0,29,0,23,0,0,0,0,0,2,2,2,0,300,,i+e,309.0,1,,,,,,berringa,2.1pft6-4,,yf,47,47,,,
staffordshire reef road,3,g020,02/12/2014,02/12/2014,forest,,,,16,8.0,,,0,2,0,2,2,0,2,1,0,0,5,1,2,2,4,0,0,0,20.0,1,43,1,24,0,2,0,0,0,3,2,3,0,289,,i+e,309.0,3,,,,,,berringa,2.1lsp6-2,,szb,2206,47>127>22>22/20,,,
berringa road,2,g051,02/12/2014,02/12/2014,woodland with weedy grassy understorey,,,,10,4.0,,,0,1,0,2,2,0,1,0,0,0,5,1,1,0,2,0,0,0,18.0,0,29,1,16,0,1,0,0,0,2,2,1,0,300,,i+e,309.0,1,,,,,,berringa,2.1pft6-4,,yf,47,47,,,
berringa road,1,g051,02/12/2014,02/12/2014,woodland with patchy native grass understorey,,,,15,4.0,,,0,1,0,2,2,0,1,1,0,0,5,1,2,2,4,0,0,0,19.0,1,29,2,24,0,1,0,0,0,3,2,3,0,300,,i+e,309.0,2,,,,,,berringa,2.1pft6-4,,yf,2205,47>127,,,
